"GPST","TWD97_x","TWD97_y","Section","Direction","Mag_x","Mag_y","Mag_z","Mag_v","Mag_h","Mag_sum","Grid"
217423.429,170010.25185,2544510.8678,3,2,35.803,33.047,-51.276,68.1792753899617,-18.8354347255317,70.7332113932345,35.5277967259611
217423.928,170009.2189,2544510.9628,3,2,33.803,27.543,-50.109,63.7906772959371,-18.5181270415128,66.4241788733591,36.565127541781
217424.429,170008.24335,2544511.0469,3,2,32.83,24.168,-48.654,59.2784816530206,-22.6974547672752,63.4752931462313,37.5443279763025
217424.928,170007.3334,2544511.1268,3,2,32.91,23.126,-43.063,54.4140415349687,-22.6144650352535,58.9262415651974,38.4577908125594
217425.529,170006.35682,2544511.2119,3,2,33.82,20.955,-37.773,47.9201434732094,-26.7088712510848,54.8607688061332,39.4380746695276
217469.929,170004.46047,2544509.7293,4,1,-15.845,13.604,-42.849,41.26199126787,23.8666654271228,47.6672806230857,0.525472473434165
217470.428,170005.5334,2544509.6424,4,1,-14.743,12.571,-43.271,42.2801134330159,21.4512829241356,47.4106056805859,1.60192538744195
217470.829,170006.52945,2544509.5562,4,1,-15.371,8.374,-40.351,39.3428390355089,19.6655977439294,43.9840279874411,2.60170483015792
217471.128,170007.35544,2544509.4884,4,1,-14.962,7.462,-37.255,36.5161407491975,18.2770177486591,40.8347635354976,3.43048751216765
217471.529,170008.53692,2544509.3813,4,1,-15.628,5.656,-34.866,35.5214287998336,15.1687432577109,38.6246381989528,4.61689246005026
217471.83,170009.4827,2544509.297,4,1,-12.947,6.857,-32.14,31.5027971237029,15.9748750036681,35.3217051966634,5.56644102101614
217472.128,170010.47056,2544509.2116,4,1,-12.117,6.727,-29.151,29.138180429964,13.8860167157778,32.2777790283037,6.55800115001187
217472.428,170011.49526,2544509.1108,4,1,-7.365,6.622,-26.27,25.9006414718949,10.8334565280134,28.0750246482528,7.58764800020266
217472.731,170012.58048,2544509.0207,4,1,-7.531,7.357,-25.086,23.8410201399455,13.1055165745846,27.2056759886609,8.67660284022008
217472.93,170013.3049,2544508.948,4,1,-5.277,11.025,-22.788,22.7238752042088,12.3416284866926,25.8590467341702,9.40466164865134
217473.229,170014.39832,2544508.8473,4,1,-4.961,14.318,-23.328,23.2824163344524,15.2230522113413,27.8174806371821,10.5027169261036
217473.528,170015.49174,2544508.7508,4,1,-5.754,14.908,-22.818,23.843678803743,14.4047591130132,27.8571015003356,11.6003969494535
217473.728,170016.21926,2544508.6848,4,1,-5.9,15.884,-24.658,26.2544456519215,14.3468638911193,29.9186968299089,12.3309060623876
217474.029,170017.3178,2544508.5882,4,1,-7.687,16.429,-27.613,28.8807263384028,16.0431737871996,33.0375510442284,13.4336864249052
217474.329,170018.41523,2544508.4913,4,1,-8.252,17.029,-33.546,34.4990997249651,17.1239183356764,38.5151458649711,14.5353900121372
217474.629,170019.51173,2544508.4004,4,1,-11.25,12.848,-33.286,33.1187673936524,17.3993863778338,37.4111133221133,15.6356517710542
217474.829,170020.2486,2544508.3364,4,1,-10.919,11.101,-33.321,33.4377885650627,15.3186193528712,36.7796928073088,16.3752978557498
