1616501047.752592,3730,5283,605,6495,-2.8,1.6,59.9
1616501047.850941,3502,5717,465,6720,-2.6,4.6,62.0
1616501047.948769,3329,5806,369,6703,-4.0,2.5,64.0
1616501048.049843,3404,5944,186,6852,-3.4,-0.4,64.1
1616501048.138594,3240,5777,143,6625,-4.7,8.6,65.2
1616501048.233061,3178,5804,18,6617,-2.6,3.4,65.2
1616501048.379853,3017,5602,194,6366,-3.9,-4.3,67.3
1616501048.479287,2937,5599,345,6332,-4.7,8.8,65.4
1616501048.634573,3080,5753,368,6536,-2.3,6.9,65.4
1616501048.732742,2962,5890,359,6603,-2.9,8.7,66.5
1616501048.832436,3124,6110,134,6864,-3.9,2.6,67.3
1616501048.921385,3225,6337,-299,7117,-1.6,-2.0,66.3
1616501049.018888,3309,6286,-397,7115,-2.7,1.2,63.9
1616501049.119366,3666,6058,-744,7120,-3.7,1.0,63.0
1616501049.222775,3733,5995,-884,7117,-2.1,5.3,61.8
1616501049.321810,3797,5785,-851,6972,-3.9,4.8,59.7
1616501049.418649,3912,5364,-874,6696,-3.4,4.1,58.4
1616501049.516680,3989,4986,-686,6422,-0.9,1.5,51.5
1616501049.616742,4379,4727,-712,6482,-4.0,0.2,47.2
1616501049.702123,4544,3696,-188,5860,-1.3,0.3,38.4
1616501049.812635,4791,3287,79,5811,-1.3,3.5,34.5
1616501049.945765,4882,2571,984,5605,0.3,4.8,29.0
1616501050.103948,5190,2534,1827,6058,-1.2,5.1,30.4
1616501050.201997,5130,3230,2088,6412,-2.2,1.2,35.3
1616501050.300007,5049,3599,2107,6549,-1.1,8.2,40.8
1616501050.401095,4934,4012,1977,6660,-3.4,-0.4,46.5
1616501050.492695,4753,4671,1427,6815,-2.1,3.2,48.4
1616501050.596009,4728,4768,1237,6828,-2.3,5.3,49.1
1616501050.695945,4519,4800,789,6640,-1.1,3.0,50.4
1616501050.791744,4633,4863,578,6741,1.3,2.4,50.1
1616501050.929466,4696,4983,329,6854,-1.0,1.3,50.6
1616501051.082982,4893,5201,241,7145,-3.0,3.8,50.9
1616501051.182545,4897,5227,135,7164,-1.1,4.3,52.4
1616501051.271785,4648,5455,-234,7170,-1.0,5.5,54.3
1616501051.379421,4585,5495,-508,7175,-0.8,4.6,55.6
1616501051.479199,4429,5544,-1209,7198,-2.2,2.7,55.9
1616501051.572700,4526,5527,-1504,7300,-0.6,3.5,53.4
1616501051.670863,4613,5421,-1811,7345,0.7,6.4,54.8
1616501051.770036,4519,5224,-2406,7314,-2.2,2.6,54.3
1616501051.866918,4525,5082,-2618,7291,-3.9,1.5,51.5
1616501051.966950,4555,4899,-2799,7251,0.4,2.4,51.3
1616501052.055310,4738,4585,-3066,7271,-0.4,5.4,46.0
1616501052.162542,5011,4429,-3103,7372,-0.1,4.5,45.2
1616501052.263124,5168,3930,-3038,7168,-1.6,4.2,43.1
1616501052.357585,5139,3682,-2865,6941,-2.0,6.6,38.2
